open,low,high,close,change,changepercent,date miladi,date shamsi
"818,300","818,300","821,200","819,500",5600,0.69%,11/01/2025,1403/10/22
"803,300","803,300","815,200","813,900",9800,1.22%,09/01/2025,1403/10/20
"799,000","797,800","806,200","804,100",3300,0.41%,08/01/2025,1403/10/19
"798,100","795,300","803,700","800,800",7350,0.93%,07/01/2025,1403/10/18
"794,200","789,800","794,200","793,450",2000,0.25%,06/01/2025,1403/10/17
"799,600","794,700","801,200","795,450",2900,0.36%,05/01/2025,1403/10/16
"799,600","792,300","799,700","798,350",8000,1%,04/01/2025,1403/10/15
"812,950","805,100","813,200","806,350",5950,0.74%,02/01/2025,1403/10/13
"813,200","810,100","814,700","812,300",750,0.09%,01/01/2025,1403/10/12
"816,300","807,300","816,700","813,050",150,0.02%,31/12/2024,1403/10/11
"796,350","794,850","813,200","813,200",16050,2.01%,30/12/2024,1403/10/10
"811,550","793,300","814,700","797,150",13450,1.69%,29/12/2024,1403/10/09
"799,350","799,350","811,200","810,600",16750,2.11%,28/12/2024,1403/10/08
"784,850","776,800","794,700","793,850",7900,1.01%,26/12/2024,1403/10/06
"785,200","777,800","787,700","785,950",650,0.08%,25/12/2024,1403/10/05
"779,700","779,300","787,700","786,600",7800,1%,24/12/2024,1403/10/04
"762,200","760,900","781,700","778,800",16000,2.10%,23/12/2024,1403/10/03
"761,600","753,300","763,100","762,800",400,0.05%,22/12/2024,1403/10/02
"766,900","761,800","768,700","762,400",5150,0.68%,21/12/2024,1403/10/01
"771,600","766,800","772,700","767,550",6100,0.79%,19/12/2024,1403/09/29
"767,200","766,800","775,700","773,650",7350,0.96%,18/12/2024,1403/09/28
"765,550","763,300","768,700","766,300",6800,0.90%,17/12/2024,1403/09/27
"745,950","745,800","759,700","759,500",12400,1.66%,16/12/2024,1403/09/26
"748,550","745,800","756,600","747,100",50,0.01%,15/12/2024,1403/09/25
"736,600","727,572","748,200","747,150",17550,2.41%,14/12/2024,1403/09/24
"732,450","727,800","734,700","729,600",2350,0.32%,12/12/2024,1403/09/22
"723,650","723,300","732,700","731,950",8750,1.21%,11/12/2024,1403/09/21
"718,800","718,800","724,200","723,200",4350,0.61%,10/12/2024,1403/09/20
"718,400","717,800","722,700","718,850",350,0.05%,09/12/2024,1403/09/19
"715,350","714,600","721,700","719,200",3600,0.50%,08/12/2024,1403/09/18
"712,650","711,500","716,200","715,600",800,0.11%,07/12/2024,1403/09/17
"712,200","710,800","715,200","714,800",3850,0.54%,04/12/2024,1403/09/14
"704,800","704,500","711,200","710,950",6800,0.97%,03/12/2024,1403/09/13
"699,550","699,400","707,200","704,150",5150,0.74%,02/12/2024,1403/09/12
"702,950","697,900","705,400","699,000",5000,0.72%,01/12/2024,1403/09/11
"704,950","699,800","709,200","704,000",2600,0.37%,30/11/2024,1403/09/10
"699,300","698,800","701,700","701,400",2350,0.34%,28/11/2024,1403/09/08
"695,750","695,600","699,700","699,050",3100,0.45%,27/11/2024,1403/09/07
"693,350","693,300","699,700","695,950",2250,0.32%,26/11/2024,1403/09/06
"687,400","679,800","694,700","693,700",4100,0.59%,25/11/2024,1403/09/05
"698,000","686,800","700,800","689,600",9450,1.37%,24/11/2024,1403/09/04
"697,400","697,200","703,300","699,050",6800,0.98%,23/11/2024,1403/09/03
"689,900","689,500","694,800","692,250",2950,0.43%,21/11/2024,1403/09/01
"690,250","688,700","695,300","689,300",250,0.04%,20/11/2024,1403/08/30
"683,850","682,700","689,800","689,050",4600,0.67%,19/11/2024,1403/08/29
"680,950","680,700","684,700","684,450",2700,0.40%,18/11/2024,1403/08/28
"682,200","681,250","688,800","681,750",650,0.10%,17/11/2024,1403/08/27
"683,750","680,200","685,800","682,400",900,0.13%,16/11/2024,1403/08/26
"682,300","677,700","683,800","683,300",1100,0.16%,14/11/2024,1403/08/24
"679,450","679,200","688,800","684,400",6200,0.91%,13/11/2024,1403/08/23
"668,800","668,700","681,300","678,200",9000,1.34%,12/11/2024,1403/08/22
"682,300","669,200","682,500","669,200",13450,2.01%,11/11/2024,1403/08/21
"691,800","682,200","692,800","682,650",9550,1.40%,10/11/2024,1403/08/20
"695,400","692,000","695,700","692,200",1750,0.25%,09/11/2024,1403/08/19
"696,100","686,700","696,300","690,450",5800,0.84%,07/11/2024,1403/08/17
"698,550","694,000","698,800","696,250",7350,1.07%,06/11/2024,1403/08/16
"689,400","683,200","689,800","688,900",700,0.10%,05/11/2024,1403/08/15
"694,200","686,700","694,300","689,600",3650,0.53%,04/11/2024,1403/08/14
"694,500","689,700","701,500","693,250",1550,0.22%,03/11/2024,1403/08/13
"683,650","683,200","695,300","694,800",12500,1.83%,02/11/2024,1403/08/12
"687,500","680,200","687,600","682,300",10100,1.48%,31/10/2024,1403/08/10
"683,750","680,200","697,800","692,400",8400,1.23%,30/10/2024,1403/08/09
"673,800","673,200","689,250","684,000",9200,1.36%,29/10/2024,1403/08/08
"660,550","660,200","674,800","674,800",13950,2.11%,28/10/2024,1403/08/07
